current,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
5670,2039326,Maryam  Fazel-Zarandi and Hugh J. Devlin and Yun  Huang and Noshir  Contractor,,,,"Expert Recommendation Based on Social Drivers, Social Network Analysis, and Semantic Data Representation",41--48,,8,"expert recommendation, multi-theoretical multi-level framework, personalized search, scientific collaboration, semantic web, social drivers, social network analysis",10.1145/2039320.2039326,,,,,,,2011,,Proceedings of the 2Nd International Workshop on Information Heterogeneity and Fusion in Recommender Systems,HetRec '11,,978-1-4503-1027-7,"Chicago, Illinois",ACM,"New York, NY, USA"
5671,2465562,Hao  Chen and Chengmo  Yang,,,,Boosting Efficiency of Fault Detection and Recovery Throughapplication-specific Comparison and Checkpointing,13--20,,8,"application-specific optimization, checkpointing, fault detection &#38; recovery, reliability",10.1145/2465554.2465562,,,,,,,2013,,"Proceedings of the 14th ACM SIGPLAN/SIGBED Conference on Languages, Compilers and Tools for Embedded Systems",LCTES '13,,978-1-4503-2085-6,"Seattle, Washington, USA",ACM,"New York, NY, USA"
5672,2328972,Pere R. Comas and Jordi  Turmo and Llu&#237;s  M&#224;rquez,,,,"Sibyl, a Factoid Question-answering System for Spoken Documents",19:1--19:40,19,40,"Question answering, spoken document retrieval",10.1145/2328967.2328972,ACM Trans. Inf. Syst.,12-Aug,30,3,,September,2012,1046-8188,,,,,,ACM,"New York, NY, USA"
5673,507673,J&#246;rg  Widmer and Martin  Mauve and Jan Peter Damm,,,,Probabilistic Congestion Control for Non-adaptable Flows,13--21,,9,"TCP-friendliness, congestion control, non-adaptable flows",10.1145/507670.507673,,,,,,,2002,,Proceedings of the 12th International Workshop on Network and Operating Systems Support for Digital Audio and Video,NOSSDAV '02,,1-58113-512-2,"Miami, Florida, USA",ACM,"New York, NY, USA"
5674,1452409,Christine  K&#252;hnel and Benjamin  Weiss and Ina  Wechsung and Sascha  Fagel and Sebastian  M&#246;ller,,,,Evaluating Talking Heads for Smart Home Systems,81--84,,4,"multimodal ui, smart home environments, talking heads",10.1145/1452392.1452409,,,,,,,2008,,Proceedings of the 10th International Conference on Multimodal Interfaces,ICMI '08,,978-1-60558-198-9,"Chania, Crete, Greece",ACM,"New York, NY, USA"
5675,1669149,Boris  Grot and Stephen W. Keckler and Onur  Mutlu,,,,"Preemptive Virtual Clock: A Flexible, Efficient, and Cost-effective QOS Scheme for Networks-on-chip",268--279,,12,,10.1145/1669112.1669149,,,,,,,2009,,Proceedings of the 42Nd Annual IEEE/ACM International Symposium on Microarchitecture,MICRO 42,,978-1-60558-798-1,"New York, New York",ACM,"New York, NY, USA"
5676,1384395,Ulrich  Kiesmueller and Torsten  Brinda,,,,How Do 7th Graders Solve Algorithmic Problems?: A Tool-based Analysis,353--353,,1,"algorithms, didactics of informatics, kara, problem solving process, secondary computer science education, tool-based analysis",10.1145/1384271.1384395,,,,,,,2008,,Proceedings of the 13th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '08,,978-1-60558-078-4,"Madrid, Spain",ACM,"New York, NY, USA"
5677,2422546,Andrew  Krioukov and Gabe  Fierro and Nikita  Kitaev and David  Culler,,,,Building Application Stack (BAS),72--79,,8,"building applications, controls, energy efficiency",10.1145/2422531.2422546,,,,,,,2012,,Proceedings of the Fourth ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings,BuildSys '12,,978-1-4503-1170-0,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
5678,881780,Luo  Guangchun and Lu  Xianliang and Li  Jiong and Zhang  Jun,,,,MADIDS: A Novel Distributed IDS Based on Mobile Agent,46--53,,8,"distributed IDS, mobile agent, performance",10.1145/881775.881780,SIGOPS Oper. Syst. Rev.,3-Jan,37,1,,January,2003,0163-5980,,,,,,ACM,"New York, NY, USA"
5679,2429406,Somnath  Banerjee and Tushar  Gupta,,,,Fast and Scalable Hybrid Functional Verification and Debug with Dynamically Reconfigurable Co-simulation,115--122,,8,"co-simulation, debug, scalability",10.1145/2429384.2429406,,,,,,,2012,,Proceedings of the International Conference on Computer-Aided Design,ICCAD '12,,978-1-4503-1573-9,"San Jose, California",ACM,"New York, NY, USA"
5680,1835741,Yongmin  Tan and Xiaohui  Gu and Haixun  Wang,,,,Adaptive System Anomaly Prediction for Large-scale Hosting Infrastructures,173--182,,10,"anomaly prediction, context-aware prediction model",10.1145/1835698.1835741,,,,,,,2010,,Proceedings of the 29th ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing,PODC '10,,978-1-60558-888-9,"Zurich, Switzerland",ACM,"New York, NY, USA"
5681,1062715,Saikat  Guha and Rohan  Murty and Emin G&#252;n Sirer,,,,Sextant: A Unified Node and Event Localization Framework Using Non-convex Constraints,205--216,,12,"B&#233;zier, SEXTANT, event localization, motes, node localization, positioning",10.1145/1062689.1062715,,,,,,,2005,,Proceedings of the 6th ACM International Symposium on Mobile Ad Hoc Networking and Computing,MobiHoc '05,,1-59593-004-3,"Urbana-Champaign, IL, USA",ACM,"New York, NY, USA"
5682,2525464,Mark  Dimond and Gavin  Smith and James  Goulding,,,,Improving Route Prediction Through User Journey Detection,476--479,,4,"journey detection, route prediction",10.1145/2525314.2525464,,,,,,,2013,,Proceedings of the 21st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,SIGSPATIAL'13,,978-1-4503-2521-9,"Orlando, Florida",ACM,"New York, NY, USA"
5683,502190,John  McKechnie and Sameh  Shaaban and Stephen  Lockley,,,,Computer Assisted Processing of Large Unstructured Document Sets: A Case Study in the Construction Industry,11--17,,7,"abstracting, automated text categorisation, classification, information visualization, keyword extraction, machine learning",10.1145/502187.502190,,,,,,,2001,,Proceedings of the 2001 ACM Symposium on Document Engineering,DocEng '01,,1-58113-432-0,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
5684,1458479,Pascal  Felber and Toan  Luu and Martin  Rajman and Etienne  Riviere,,,,Managing Collaborative Feedback Information for Distributed Retrieval,27--34,,8,"collaborative search, distributed retrieval, p2p",10.1145/1458469.1458479,,,,,,,2008,,Proceedings of the 2008 ACM Workshop on Large-Scale Distributed Systems for Information Retrieval,LSDS-IR '08,,978-1-60558-254-2,"Napa Valley, California, USA",ACM,"New York, NY, USA"
5685,2530272,Piyush  Sao and Richard  Vuduc,,,,Self-stabilizing Iterative Solvers,4:1--4:8,4,8,"fault-tolerance, iterative linear solvers, self-stabilization, transient soft faults",10.1145/2530268.2530272,,,,,,,2013,,Proceedings of the Workshop on Latest Advances in Scalable Algorithms for Large-Scale Systems,ScalA '13,,978-1-4503-2508-0,"Denver, Colorado",ACM,"New York, NY, USA"
5686,1934992,Christophe  Dubach and Timothy M. Jones and Edwin V. Bonilla and Michael F. P. O'Boyle,,,,A Predictive Model for Dynamic Microarchitectural Adaptivity Control,485--496,,12,,10.1109/MICRO.2010.14,,,,,,,2010,,Proceedings of the 2010 43rd Annual IEEE/ACM International Symposium on Microarchitecture,MICRO '43,,978-0-7695-4299-7,,IEEE Computer Society,"Washington, DC, USA"
5687,1082596,Cees  Witteveen and Nico  Roos and Roman  van der Krogt and Mathijs  de Weerdt,,,,Diagnosis of Single and Multi-agent Plans,805--812,,8,"model-based diagnosis, planning",10.1145/1082473.1082596,,,,,,,2005,,Proceedings of the Fourth International Joint Conference on Autonomous Agents and Multiagent Systems,AAMAS '05,,1-59593-093-0,The Netherlands,ACM,"New York, NY, USA"
5688,1899694,Kai  Iwata and Yutaka  Ishibashi and Norishige  Fukushima and Shinji  Sugawara,,,,"QoE Assessment in Haptic Media, Sound, and Video Transmission: Effect of Playout Buffering Control",12:1--12:14,12,14,"Haptic media, QoE, QoS, playout buffering control, sound, video",10.1145/1899687.1899694,Comput. Entertain.,10-Dec,8,2,,December,2010,1544-3574,,,,,,ACM,"New York, NY, USA"
5689,1168868,Smitha  Shyam and Kypros  Constantinides and Sujay  Phadke and Valeria  Bertacco and Todd  Austin,,,,Ultra Low-cost Defect Protection for Microprocessor Pipelines,73--82,,10,"defect-protection, low-cost, pipelines, reliability",10.1145/1168917.1168868,SIGOPS Oper. Syst. Rev.,6-Dec,40,5,,October,2006,0163-5980,,,,,,ACM,"New York, NY, USA"
5690,1251208,Ramana Rao Kompella and Jennifer  Yates and Albert  Greenberg and Alex C. Snoeren,,,,IP Fault Localization via Risk Modeling,57--70,,14,,,,,,,,,2005,,Proceedings of the 2Nd Conference on Symposium on Networked Systems Design & Implementation - Volume 2,NSDI'05,,,,USENIX Association,"Berkeley, CA, USA"
5691,1929569,Srdjan  Komazec and Davide  Cerri,,,,Enhancing Event Processing Networks with Semantics to Enable Self-managed SEE Federations,17--24,,8,"RDF(S), SPARQL, event processing, monitoring, semantic execution environment, semantic web, web services",10.1145/1929566.1929569,,,,,,,2010,,"Proceedings of the 3rd International Workshop on Monitoring, Adaptation and Beyond",MONA '10,,978-1-4503-0422-1,"Ayia Napa, Cyprus",ACM,"New York, NY, USA"
5692,1275009,Mohamed  Hussein and Ken  Mayes and Mikel  Luj&#225;n and John  Gurd,,,,Adaptive Performance Control for Distributed Scientific Coupled Models,274--283,,10,"PerCo, adaptivity, coupled models, grid, performance control",10.1145/1274971.1275009,,,,,,,2007,,Proceedings of the 21st Annual International Conference on Supercomputing,ICS '07,,978-1-59593-768-1,"Seattle, Washington",ACM,"New York, NY, USA"
5693,1412199,Bin  Cheng and Lex  Stein and Hai  Jin and Xiaofei  Liao and Zheng  Zhang,,,,GridCast: Improving Peer Sharing for P2P VoD,26:1--26:31,26,31,"Video-on-demand, caching, peer-to-peer, replication",10.1145/1412196.1412199,ACM Trans. Multimedia Comput. Commun. Appl.,8-Oct,4,4,,November,2008,1551-6857,,,,,,ACM,"New York, NY, USA"
5694,985974,Stefan  Carmien,,,,MAPS: Creating Socio-technical Environments in Support of Distributed Cognition for People with Cognitive Impairments and Their Caregivers,1051--1052,,2,"distributed cognition, domain-oriented design environments, end-user programming, prompting systems, technology abandonment, technology adoption",10.1145/985921.985974,,,,,,,2004,,CHI '04 Extended Abstracts on Human Factors in Computing Systems,CHI EA '04,,1-58113-703-6,"Vienna, Austria",ACM,"New York, NY, USA"
5695,1830891,Zachary D. Williams and Gregory M. Kapfhammer,,,,Using Synthetic Test Suites to Empirically Compare Search-based and Greedy Prioritizers,2119--2120,,2,"greedy test prioritization, search-based test prioritization",10.1145/1830761.1830891,,,,,,,2010,,Proceedings of the 12th Annual Conference Companion on Genetic and Evolutionary Computation,GECCO '10,,978-1-4503-0073-5,"Portland, Oregon, USA",ACM,"New York, NY, USA"
5696,1144323,Johannes  Mayer,,,,Towards Effective Adaptive Random Testing for Higher-dimensional Input Domains,1955--1956,,2,"adaptive random testing, random testing, test case selection",10.1145/1143997.1144323,,,,,,,2006,,Proceedings of the 8th Annual Conference on Genetic and Evolutionary Computation,GECCO '06,,1-59593-186-4,"Seattle, Washington, USA",ACM,"New York, NY, USA"
5697,347554,Anja  Feldmann and Albert  Greenberg and Carsten  Lund and Nick  Reingold and Jennifer  Rexford and Fred  True,,,,Deriving Traffic Demands for Operational IP Networks: Methodology and Experience,257--270,,14,,10.1145/347057.347554,SIGCOMM Comput. Commun. Rev.,Oct-00,30,4,,August,2000,0146-4833,,,,,,ACM,"New York, NY, USA"
5698,564189,Enver  Y&#252;cesan and Luk N. Van Wassenhove and Klenthis  Papanikas and Nico M. van Dijk,,,,On-line Error Bounds for Steady-state Approximations: A Potential Solution to the Initialization Bias Problem,460--469,,10,,,,,,,,,2001,,Proceedings of the 33Nd Conference on Winter Simulation,WSC '01,,0-7803-7309-X,"Arlington, Virginia",IEEE Computer Society,"Washington, DC, USA"
5699,378471,Christoph  Scholl and Bernd  Becker,,,,Checking Equivalence for Partial Implementations,238--243,,6,,10.1145/378239.378471,,,,,,,2001,,Proceedings of the 38th Annual Design Automation Conference,DAC '01,,1-58113-297-2,"Las Vegas, Nevada, USA",ACM,"New York, NY, USA"
5700,1273002,Christopher  Stewart and Terence  Kelly and Alex  Zhang,,,,Exploiting Nonstationarity for Performance Prediction,31--44,,14,"LAR regression, enterprise, internet services, mutli-tier, noninvasive, nonstationarity, performance prediction, realistic workloads",10.1145/1272998.1273002,SIGOPS Oper. Syst. Rev.,7-Jun,41,3,,March,2007,0163-5980,,,,,,ACM,"New York, NY, USA"
5701,2396603,Yehuda  Afek and Anat  Bremler-Barr and Yotam  Harchol and David  Hay and Yaron  Koral,,,,MCA2: Multi-core Architecture for Mitigating Complexity Attacks,235--246,,12,"DDOS, complexity attack, intrusion detection, multi-core",10.1145/2396556.2396603,,,,,,,2012,,Proceedings of the Eighth ACM/IEEE Symposium on Architectures for Networking and Communications Systems,ANCS '12,,978-1-4503-1685-9,"Austin, Texas, USA",ACM,"New York, NY, USA"
5702,1400801,Bogdan S. Chlebus and Dariusz R. Kowalski,,,,Asynchronous Exclusive Selection,375--384,,10,"adaptation to contention, asynchrony, crashes, graph expansion, local step complexity, non-blocking, read-write shared registers, renaming, store and collect, wait-free",10.1145/1400751.1400801,,,,,,,2008,,Proceedings of the Twenty-seventh ACM Symposium on Principles of Distributed Computing,PODC '08,,978-1-59593-989-0,"Toronto, Canada",ACM,"New York, NY, USA"
5703,1098934,Geoffrey  Werner-Allen and Geetika  Tewari and Ankit  Patel and Matt  Welsh and Radhika  Nagpal,,,,Firefly-inspired Sensor Network Synchronicity with Realistic Radio Effects,142--153,,12,"biologically inspired algorithms, pulse-coupled oscillators, synchronization, wireless sensor networks",10.1145/1098918.1098934,,,,,,,2005,,Proceedings of the 3rd International Conference on Embedded Networked Sensor Systems,SenSys '05,,1-59593-054-X,"San Diego, California, USA",ACM,"New York, NY, USA"
5704,2304525,Zhongxian  Gu and Mohamed A. Soliman and Florian M. Waas,,,,Testing the Accuracy of Query Optimizers,11:1--11:6,11,6,"accuracy, optimizer, plan, ranking, testing",10.1145/2304510.2304525,,,,,,,2012,,Proceedings of the Fifth International Workshop on Testing Database Systems,DBTest '12,,978-1-4503-1429-9,"Scottsdale, Arizona",ACM,"New York, NY, USA"
5705,1118623,Jay A. Patel and Charles M. Yang and Indranil  Gupta,,,,Turning Flash Crowds into Smart Mobs with Real-time Stochastic Detection and Adaptive Cooperative Caching,1--7,,7,,10.1145/1095810.1118623,,,,,,,2005,,Proceedings of the Twentieth ACM Symposium on Operating Systems Principles,SOSP '05,,1-59593-079-5,"Brighton, United Kingdom",ACM,"New York, NY, USA"
5706,2420939,Malak  Alshawabkeh and David  Kaeli and Javed A. Aslam and Jennifer G. Dy and Dana  Schaa,,,,Enhanced Boosting-based Algorithm for Intrusion Detection in Virtual Machine Environments,13--18,,6,"boosting, intrusion detection, virtual machine monitoring",10.1145/2420936.2420939,,,,,,,2012,,Proceedings of the First International Workshop on Secure and Resilient Architectures and Systems,SRAS '12,,978-1-4503-1777-1,"Minneapolis, Minnesota",ACM,"New York, NY, USA"
5707,1023839,Ken  Batcher and Robert  Walker,,,,Cluster Miss Prediction with Prefetch on Miss for Embedded CPU Instruction Caches,24--34,,11,"WCET, cache design, cache prefetch, embedded systems, hiding memory latency, networking",10.1145/1023833.1023839,,,,,,,2004,,"Proceedings of the 2004 International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES '04,,1-58113-890-3,"Washington DC, USA",ACM,"New York, NY, USA"
5708,2019589,Naixue  Xiong and Athanasios V. Vasilakos and Laurence T. Yang and Ekram  Hossain,,,,An Adaptive and Predictive Approach for Autonomic Multirate Multicast Networks,22:1--22:25,22,25,"Autonomic communication, BP neural network, communication system traffic, explicit rate, flow control, multirate multicast, neural network",10.1145/2019583.2019589,ACM Trans. Auton. Adapt. Syst.,11-Sep,6,3,,September,2011,1556-4665,,,,,,ACM,"New York, NY, USA"
5709,2019616,Hyunjin  Lee and Sangyeun  Cho and Bruce R. Childers,,,,DEFCAM: A Design and Evaluation Framework for Defect-tolerant Cache Memories,17:1--17:29,17,29,"Process Variations, Yield",10.1145/2019608.2019616,ACM Trans. Archit. Code Optim.,11-Oct,8,3,,October,2011,1544-3566,,,,,,ACM,"New York, NY, USA"
5710,2494647,Rustem  Dautov and Iraklis  Paraskakis,,,,A Vision for Monitoring Cloud Application Platforms As Sensor Networks,25:1--25:8,25,8,"autonomic computing, cloud application platforms, monitoring, sensor network, sensor web, service-oriented computing",10.1145/2494621.2494647,,,,,,,2013,,Proceedings of the 2013 ACM Cloud and Autonomic Computing Conference,CAC '13,,978-1-4503-2172-3,"Miami, Florida, USA",ACM,"New York, NY, USA"
5711,2488824,Li  Jiang and Fangming  Ye and Qiang  Xu and Krishnendu  Chakrabarty and Bill  Eklow,,,,On Effective and Efficient In-field TSV Repair for Stacked 3D ICs,74:1--74:6,74,6,,10.1145/2463209.2488824,,,,,,,2013,,Proceedings of the 50th Annual Design Automation Conference,DAC '13,,978-1-4503-2071-9,"Austin, Texas",ACM,"New York, NY, USA"
5712,1868883,Baskaran  Sankaran and Ajeet  Grewal and Anoop  Sarkar,,,,Incremental Decoding for Phrase-based Statistical Machine Translation,216--223,,8,,,,,,,,,2010,,Proceedings of the Joint Fifth Workshop on Statistical Machine Translation and MetricsMATR,WMT '10,,978-1-932432-71-8,"Uppsala, Sweden",Association for Computational Linguistics,"Stroudsburg, PA, USA"
5713,1862794,Sumit  Ganguly,,,,Distributing Frequency-dependent Data Stream Computations,163--170,,8,,,,,,,,,2009,,Proceedings of the Fifteenth Australasian Symposium on Computing: The Australasian Theory - Volume 94,CATS '09,,978-1-920682-75-0,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
5714,2499650,Ning  Ge and Shin  Nakajima and Marc  Pantel,,,,Efficient Online Analysis of Accidental Fault Localization for Dynamic Systems Using Hidden Markov Model,16:1--16:8,16,8,"accidental fault localization, hidden Markov model, online analysis, simulation",,,,,,,,2013,,Proceedings of the Symposium on Theory of Modeling & Simulation - DEVS Integrative M&S Symposium,DEVS 13,,978-1-62748-032-1,"San Diego, California",Society for Computer Simulation International,"San Diego, CA, USA"
5715,368719,Kenneth D. Boese and Andrew B. Kahng and Stafanus  Mantik,,,,On the Relevance of Wire Load Models,91--98,,8,,10.1145/368640.368719,,,,,,,2001,,Proceedings of the 2001 International Workshop on System-level Interconnect Prediction,SLIP '01,,1-58113-315-4,"Sonoma, California, USA",ACM,"New York, NY, USA"
5716,2340420,Hongfei  Fan and Chengzheng  Sun,,,,Supporting Semantic Conflict Prevention in Real-time Collaborative Programming Environments,39--52,,14,"conflict prevention, dependency graph, dependency relationship, locking, locking state maintenance, real-time collaborative programming, semantic conflict, semantic consistency",10.1145/2340416.2340420,SIGAPP Appl. Comput. Rev.,,12,2,,June,2012,1559-6915,,,,,,ACM,"New York, NY, USA"
5717,1998533,Nishant  Sinha,,,,Modular Bug Detection with Inertial Refinement,199--206,,8,,,,,,,,,2010,,Proceedings of the 2010 Conference on Formal Methods in Computer-Aided Design,FMCAD '10,,,"Lugano, Switzerland",FMCAD Inc,"Austin, TX"
5718,974786,Richard J. Hanson and Tim  Hopkins,,,,Algorithm 830: Another Visit with Standard and Modified Givens Transformations and a Remark on Algorithm 539,86--94,,9,"BLAS, Givens rotation, linear algebra",10.1145/974781.974786,ACM Trans. Math. Softw.,4-Mar,30,1,,March,2004,0098-3500,,,,,,ACM,"New York, NY, USA"
5719,378747,Mikel  Larrea and Antonio  Fern&#225;ndez and Sergio  Ar&#233;valo,,,,Eventually Consistent Failure Detectors,326--327,,2,,10.1145/378580.378747,,,,,,,2001,,Proceedings of the Thirteenth Annual ACM Symposium on Parallel Algorithms and Architectures,SPAA '01,,1-58113-409-6,"Crete Island, Greece",ACM,"New York, NY, USA"
5720,2470758,Steven W.T. Sutcliffe and Zenja  Ivkovic and David R. Flatla and Andriy  Pavlovych and Ian  Stavness and Carl  Gutwin,,,,Improving Digital Handoff Using the Space Above the Table,735--744,,10,"coordination, digital object handoff, digital tables",10.1145/2470654.2470758,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
5721,1382156,Haibo  Chen and Xi  Wu and Liwei  Yuan and Binyu  Zang and Pen-chung  Yew and Frederic T. Chong,,,,From Speculation to Security: Practical and Efficient Information Flow Tracking Using Speculative Hardware,401--412,,12,"Dynamic Information Flow Tracking, Taint tracking, Speculative Execution, Deferred Exception",10.1145/1394608.1382156,SIGARCH Comput. Archit. News,8-Jun,36,3,,June,2008,0163-5964,,,,,,ACM,"New York, NY, USA"
5722,2532411,S. H. Huang and T. C. Yang and Jenho  Tsao,,,,Tracking Time-varying Correlated Underwater Acoustic Channels in the Signal Subspace,32:1--32:7,32,7,"acoustic communication, channel tracking, non-WSSUS channel, subspace tracking",10.1145/2532378.2532411,,,,,,,2013,,Proceedings of the Eighth ACM International Conference on Underwater Networks and Systems,WUWNet '13,,978-1-4503-2584-4,"Kaohsiung, Taiwan",ACM,"New York, NY, USA"
5723,2485512,Sundaram  Ananthanarayan and Siddharth  Garg and Hiren D. Patel,,,,Low Cost Permanent Fault Detection Using Ultra-reduced Instruction Set Co-processors,933--938,,6,,,,,,,,,2013,,"Proceedings of the Conference on Design, Automation and Test in Europe",DATE '13,,978-1-4503-2153-2,"Grenoble, France",EDA Consortium,"San Jose, CA, USA"
5724,2039261,Hong  Zhang and Mastooreh  Salajegheh and Kevin  Fu and Jacob  Sorber,,,,Ekho: Bridging the Gap Between Simulation and Reality in Tiny Energy-harvesting Sensors,9:1--9:5,9,5,,10.1145/2039252.2039261,,,,,,,2011,,Proceedings of the 4th Workshop on Power-Aware Computing and Systems,HotPower '11,,978-1-4503-0981-3,"Cascais, Portugal",ACM,"New York, NY, USA"
5725,1044835,Ana  Milanova and Atanas  Rountev and Barbara G. Ryder,,,,Parameterized Object Sensitivity for Points-to Analysis for Java,1--41,,41,"Static analysis, class analysis, context sensitivity, def-use analysis, points-to analysis, side-effect analysis",10.1145/1044834.1044835,ACM Trans. Softw. Eng. Methodol.,5-Jan,14,1,,January,2005,1049-331X,,,,,,ACM,"New York, NY, USA"
5726,1005696,Augustin  Soule and Kav&#233;  Salamatia and Nina  Taft and Richard  Emilion and Konstantina  Papagiannaki,,,,Flow Classification by Histograms: Or How to Go on Safari in the Internet,49--60,,12,"flow classification, internet traffic, parameter estimation",10.1145/1012888.1005696,SIGMETRICS Perform. Eval. Rev.,4-Jun,32,1,,June,2004,0163-5999,,,,,,ACM,"New York, NY, USA"
5727,2389838,W. H. K. Bester and C. P. Inggs and W. C. Visser,,,,Test-case Generation and Bug-finding Through Symbolic Execution,1--9,,9,"defect detection, symbolic execution, test case generation",10.1145/2389836.2389838,,,,,,,2012,,Proceedings of the South African Institute for Computer Scientists and Information Technologists Conference,SAICSIT '12,,978-1-4503-1308-7,"Pretoria, South Africa",ACM,"New York, NY, USA"
5728,1613807,Wolfgang  Macherey and Franz Josef Och and Ignacio  Thayer and Jakob  Uszkoreit,,,,Lattice-based Minimum Error Rate Training for Statistical Machine Translation,725--734,,10,,,,,,,,,2008,,Proceedings of the Conference on Empirical Methods in Natural Language Processing,EMNLP '08,,,"Honolulu, Hawaii",Association for Computational Linguistics,"Stroudsburg, PA, USA"
5729,1162684,Ling  Huang and Minos  Garofalakis and Joseph  Hellerstein and Anthony  Joseph and Nina  Taft,,,,Toward Sophisticated Detection with Distributed Triggers,311--316,,6,"PCA, anomaly detection, distributed triggers",10.1145/1162678.1162684,,,,,,,2006,,Proceedings of the 2006 SIGCOMM Workshop on Mining Network Data,MineNet '06,,1-59593-569-X,"Pisa, Italy",ACM,"New York, NY, USA"
5730,2229079,Tuomas  Sandholm and Satinder  Singh,,,,Lossy Stochastic Game Abstraction with Bounds,880--897,,18,"?-equilibrium, abstraction, computational game theory, equilibrium finding, game abstraction, game solving",10.1145/2229012.2229079,,,,,,,2012,,Proceedings of the 13th ACM Conference on Electronic Commerce,EC '12,,978-1-4503-1415-2,"Valencia, Spain",ACM,"New York, NY, USA"
5731,1082440,Richard C. Thomas and Amela  Karahasanovic and Gregor E. Kennedy,,,,An Investigation into Keystroke Latency Metrics As an Indicator of Programming Performance,127--134,,8,"chunking, digraph latencies, empirical methods, keystroke model, programming performance",,,,,,,,2005,,Proceedings of the 7th Australasian Conference on Computing Education - Volume 42,ACE '05,,1-920682-24-4,"Newcastle, New South Wales, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
5732,992803,Byeongchang  Kim and Geunbae  Lee,,,,Decision-tree Based Error Correction for Statistical Phrase Break Prediction in Korean,1051--1055,,5,,10.3115/992730.992803,,,,,,,2000,,Proceedings of the 18th Conference on Computational Linguistics - Volume 2,COLING '00,,,"Saarbr&#252;cken, Germany",Association for Computational Linguistics,"Stroudsburg, PA, USA"
5733,1066102,David  Detlefs and Greg  Nelson and James B. Saxe,,,,Simplify: A Theorem Prover for Program Checking,365--473,,109,"Theorem proving, decision procedures, program checking",10.1145/1066100.1066102,J. ACM,5-May,52,3,,May,2005,0004-5411,,,,,,ACM,"New York, NY, USA"
5734,1282120,Anindya  Ghose and Sha  Yang,,,,An Empirical Analysis of Paid Placement in Online Advertising,95--96,,2,"hierarchical bayesian methods, information systems, marketing, natural search, online advertising, paid search",10.1145/1282100.1282120,,,,,,,2007,,Proceedings of the Ninth International Conference on Electronic Commerce,ICEC '07,,978-1-59593-700-1,"Minneapolis, MN, USA",ACM,"New York, NY, USA"
5735,2223896,Lei  Bu and Dingbao  Xie and Xin  Chen and Linzhang  Wang and Xuandong  Li,,,,Demo Abstract: BACHOL - Modeling and Verification of Cyber-Physical Systems Online,222--,,,"Cyber-Physical System, Online Modeling and Verification, Model Checking, Parametric Linear Hybrid Automata",10.1109/ICCPS.2012.43,,,,,,,2012,,Proceedings of the 2012 IEEE/ACM Third International Conference on Cyber-Physical Systems,ICCPS '12,,978-0-7695-4695-7,,IEEE Computer Society,"Washington, DC, USA"
5736,1414714,George  Buchanan and Tom  Owen,,,,Improving Skim Reading for Document Triage,83--88,,6,"document readers, document triage",10.1145/1414694.1414714,,,,,,,2008,,Proceedings of the Second International Symposium on Information Interaction in Context,IIiX '08,,978-1-60558-310-5,"London, United Kingdom",ACM,"New York, NY, USA"
5737,2396776,Matteo  Riondato and Justin A. DeBrabant and Rodrigo  Fonseca and Eli  Upfal,,,,PARMA: A Parallel Randomized Algorithm for Approximate Association Rules Mining in MapReduce,85--94,,10,"MapReduce, association rules, frequent itemsets, sampling",10.1145/2396761.2396776,,,,,,,2012,,Proceedings of the 21st ACM International Conference on Information and Knowledge Management,CIKM '12,,978-1-4503-1156-4,"Maui, Hawaii, USA",ACM,"New York, NY, USA"
5738,502401,Xuehui  Liu and Hanqiu  Sun and Enhua  Wu,,,,A Hybrid Method of Image Synthesis in IBR for Novel Viewpoints,55--60,,6,"Image-Based modeling and rendering, backward warping, depth-image map, epipolar geometry, forward warping",10.1145/502390.502401,,,,,,,2000,,Proceedings of the ACM Symposium on Virtual Reality Software and Technology,VRST '00,,1-58113-316-2,"Seoul, Korea",ACM,"New York, NY, USA"
5739,333041,Andrew B. Kahng and Dirk  Stroobandt,,,,Wiring Layer Assignments with Consistent Stage Delays,115--122,,8,"delay, layer assignment, routing, via impact, wire length",10.1145/333032.333041,,,,,,,2000,,Proceedings of the 2000 International Workshop on System-level Interconnect Prediction,SLIP '00,,1-58113-249-2,"San Diego, California, USA",ACM,"New York, NY, USA"
5740,2001297,Daniel  Gayo-Avello,,,,Don'T Turn Social Media into Another 'Literary Digest' Poll,121--128,,8,,10.1145/2001269.2001297,Commun. ACM,11-Oct,54,10,,October,2011,0001-0782,,,,,,ACM,"New York, NY, USA"
